TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.graph.connectivity.ConnectedComponentHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.871875,33,26
org.apache.commons.graph.connectivity.DefaultConnectivityBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,29,25
org.apache.commons.graph.connectivity.DefaultConnectivityAlgorithmsSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8802083333333334,48,44
org.apache.commons.graph.SynchronizedUndirectedGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
org.apache.commons.graph.SynchronizedMutableGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,52,52
org.apache.commons.graph.SynchronizedDirectedGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9464285714285714,56,53
org.apache.commons.graph.spanning.DefaultSpanningTreeSourceSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8653846153846154,129,115
org.apache.commons.graph.spanning.DefaultSpanningWeightedEdgeMapperBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,20,18
org.apache.commons.graph.spanning.DefaultSpanningTreeAlgorithmSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7096531687745351,273,179
org.apache.commons.graph.spanning.ReverseDeleteGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8145190717920897,226,186
org.apache.commons.graph.spanning.WeightedEdgesComparator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,20,19
org.apache.commons.graph.spanning.SuperVertex,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7392959770114942,145,105
org.apache.commons.graph.spanning.ShortestEdges,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8218031968031968,163,130
org.apache.commons.graph.flow.DefaultFromHeadBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,20,18
org.apache.commons.graph.flow.DefaultFlowWeightedEdgesBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,20,18
org.apache.commons.graph.flow.DefaultToTailBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,21,19
org.apache.commons.graph.flow.DefaultMaxFlowAlgorithmSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8144279970760234,153,134
org.apache.commons.graph.flow.FlowNetworkHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6854308390022675,174,107
org.apache.commons.graph.model.DirectedMutableGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.865018315018315,96,82
org.apache.commons.graph.model.BaseMutableGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9364316239316239,240,230
org.apache.commons.graph.model.UndirectedMutableGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9047619047619048,48,44
org.apache.commons.graph.model.InMemoryWeightedPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.882287851037851,153,141
org.apache.commons.graph.model.BaseGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8664612557181681,245,209
org.apache.commons.graph.model.RevertedGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8799242424242424,130,109
org.apache.commons.graph.model.InMemoryPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.896499515503876,358,338
org.apache.commons.graph.model.MutableSpanningTree,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,43,39
org.apache.commons.graph.GraphException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333333,11,10
org.apache.commons.graph.utils.Objects,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9136178861788617,74,71
org.apache.commons.graph.utils.Assertions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8721153846153846,65,52
org.apache.commons.graph.shortestpath.DefaultHeuristicBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7566362552723271,109,80
org.apache.commons.graph.shortestpath.ShortestDistances,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.976461038961039,81,79
org.apache.commons.graph.shortestpath.DefaultWeightedEdgesSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,20,18
org.apache.commons.graph.shortestpath.AllVertexPairsShortestPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8733108108108107,174,159
org.apache.commons.graph.shortestpath.PredecessorsList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8950617283950617,270,257
org.apache.commons.graph.shortestpath.NegativeWeightedCycleException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,10,8
org.apache.commons.graph.shortestpath.DefaultTargetSourceSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8606770833333334,146,136
org.apache.commons.graph.shortestpath.DefaultPathSourceSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7502211410880142,176,133
org.apache.commons.graph.shortestpath.PathNotFoundException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
org.apache.commons.graph.shortestpath.DefaultShortestPathAlgorithmSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5715302557240559,336,166
org.apache.commons.graph.scc.TarjanVertexMetaInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,73,73
org.apache.commons.graph.scc.KosarajuSharirAlgorithm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.870864898989899,283,262
org.apache.commons.graph.scc.CheriyanMehlhornGabowAlgorithm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8072921071176885,149,124
org.apache.commons.graph.scc.DefaultSccAlgorithmSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8854166666666667,66,50
org.apache.commons.graph.scc.TarjanAlgorithm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7948091736694678,114,92
org.apache.commons.graph.collections.FibonacciHeap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7668251302737025,761,627
org.apache.commons.graph.collections.DisjointSet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9671996266823853,90,85
org.apache.commons.graph.collections.DisjointSetNode,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9261363636363636,71,69
org.apache.commons.graph.collections.FibonacciHeapNode,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9301470588235294,162,159
org.apache.commons.graph.SynchronizedGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9233997426721885,233,219
